12:23:54.268683 IP localhost.58647 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.269589 IP localhost.39965 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.270401 IP localhost.13240 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.272230 IP localhost.288 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.273173 IP localhost.59252 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.273900 IP localhost.2648 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.274585 IP localhost.54837 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.275523 IP localhost.11208 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.276247 IP localhost.34263 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.277236 IP localhost.49421 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.277960 IP localhost.24977 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.278658 IP localhost.17401 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.280267 IP localhost.62281 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.281081 IP localhost.13654 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.281808 IP localhost.9412 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.282467 IP localhost.51798 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.283302 IP localhost.11719 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.284113 IP localhost.1961 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.284882 IP localhost.32255 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.285582 IP localhost.13943 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.286263 IP localhost.14716 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.287539 IP localhost.63042 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.288772 IP localhost.52606 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.289484 IP localhost.55393 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.290305 IP localhost.41829 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.291019 IP localhost.39863 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.291714 IP localhost.55631 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.292414 IP localhost.64734 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.293935 IP localhost.35337 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.294793 IP localhost.58147 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.295618 IP localhost.36174 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.296369 IP localhost.7477 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.297130 IP localhost.51452 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.298883 IP localhost.64526 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.299641 IP localhost.34043 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.300334 IP localhost.40810 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.301026 IP localhost.29555 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.301803 IP localhost.3627 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.302627 IP localhost.17276 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.303508 IP localhost.8477 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.304225 IP localhost.34360 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.305173 IP localhost.36654 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.305998 IP localhost.13554 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.306676 IP localhost.20326 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.307360 IP localhost.16692 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.308069 IP localhost.35486 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.309753 IP localhost.63602 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.310760 IP localhost.12847 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.311675 IP localhost.14277 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.312381 IP localhost.62556 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.313203 IP localhost.23373 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.313896 IP localhost.39660 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.314659 IP localhost.57687 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.315361 IP localhost.16467 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.316106 IP localhost.24549 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.316807 IP localhost.33564 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.317467 IP localhost.14034 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.318518 IP localhost.8793 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.320271 IP localhost.7658 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.321221 IP localhost.58342 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.321911 IP localhost.62950 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.322589 IP localhost.1699 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.323252 IP localhost.51366 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.324110 IP localhost.56449 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.324858 IP localhost.11441 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.325711 IP localhost.29670 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.326692 IP localhost.42183 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.328408 IP localhost.15262 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.329345 IP localhost.61344 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.330042 IP localhost.61852 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.330726 IP localhost.49474 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.331380 IP localhost.12833 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.332133 IP localhost.19852 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.332853 IP localhost.63855 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.333573 IP localhost.8975 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.334296 IP localhost.56330 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.335458 IP localhost.35336 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.336755 IP localhost.46079 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.337904 IP localhost.35276 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.339178 IP localhost.60600 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.339996 IP localhost.4241 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.340782 IP localhost.46300 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.341535 IP localhost.40814 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.342291 IP localhost.27738 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.343604 IP localhost.59083 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.344589 IP localhost.55899 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.345243 IP localhost.21460 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.345934 IP localhost.62448 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.346653 IP localhost.22934 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.347359 IP localhost.12293 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.348160 IP localhost.579 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.349747 IP localhost.60138 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.350566 IP localhost.26284 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.351431 IP localhost.26595 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
